datatype: torch.float16 ; i: 0
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
at::native::xpu::SegmentedRadixSortPairsUpsweepFunct...         0.00%       0.000us         0.00%       0.000us       0.000us      40.800us         0.10%      40.800us       5.100us             8  
                                            aten::fill_         0.20%     148.821us         0.63%     460.534us      57.567us      37.600us         0.09%      37.600us       4.700us             8  
                                           aten::cumsum         0.22%     165.176us         0.50%     367.917us     183.958us      34.080us         0.08%      34.080us      17.040us             2  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      31.200us         0.07%      31.200us      10.400us             3  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      30.240us         0.07%      30.240us       5.040us             6  
at::native::xpu::SegmentedGroupRadixSortPairsFunctor...         0.00%       0.000us         0.00%       0.000us       0.000us      29.600us         0.07%      29.600us      29.600us             1  
at::native::xpu::SegmentedRadixSortPairsScanFunctor<...         0.00%       0.000us         0.00%       0.000us       0.000us      29.440us         0.07%      29.440us       3.680us             8  
                                          aten::aminmax         0.07%      47.977us         0.10%      75.629us      75.629us      28.640us         0.07%      28.640us      28.640us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      28.640us         0.07%      28.640us      28.640us             1  
                                      aten::masked_fill         0.02%      17.886us         0.45%     332.192us     110.731us       0.000us         0.00%      24.640us       8.213us             3  
                                               aten::eq         0.14%     106.105us         0.36%     265.862us      53.172us      24.480us         0.06%      24.480us       4.896us             5  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.06%      24.000us       6.000us             4  
                                              aten::sum         0.08%      56.944us         0.11%      83.542us      83.542us      23.680us         0.06%      23.680us      23.680us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      23.680us         0.06%      23.680us      23.680us             1  
                                          aten::scatter         0.10%      74.682us         0.18%     132.722us     132.722us      10.880us         0.03%      19.200us      19.200us             1  
                                      aten::bitwise_and         0.04%      32.927us         0.11%      82.475us      41.237us      18.560us         0.04%      18.560us       9.280us             2  
at::native::xpu::CatArrayBatchedCopy_contig<at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      18.080us         0.04%      18.080us       6.027us             3  
                                               aten::lt         0.08%      57.825us         0.21%     155.212us      51.737us      17.600us         0.04%      17.600us       5.867us             3  
at::native::xpu::ReduceKernel<2, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      16.480us         0.04%      16.480us      16.480us             1  
                                            aten::clone         0.02%      14.522us         0.27%     198.282us      49.570us       0.000us         0.00%      15.200us       3.800us             4  
                                           aten::__or__         0.01%       5.057us         0.11%      78.211us      39.105us       0.000us         0.00%      15.040us       7.520us             2  
                                       aten::bitwise_or         0.04%      30.781us         0.10%      73.154us      36.577us      15.040us         0.04%      15.040us       7.520us             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      15.040us         0.04%      15.040us       7.520us             2  
                                              aten::max         0.07%      54.693us         0.11%      82.635us      82.635us      14.720us         0.04%      14.720us      14.720us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      14.720us         0.04%      14.720us      14.720us             1  
at::native::xpu::SegmentScanKernel<at::native::xpu::...         0.00%       0.000us         0.00%       0.000us       0.000us      14.400us         0.03%      14.400us      14.400us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us      14.080us         0.03%      14.080us       7.040us             2  
                                              aten::all         0.11%      77.637us         0.17%     123.508us     123.508us      12.640us         0.03%      12.640us      12.640us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      12.640us         0.03%      12.640us      12.640us             1  
                                     aten::masked_fill_         0.07%      52.313us         0.22%     159.135us      53.045us      12.640us         0.03%      12.640us       4.213us             3  
                                      aten::bitwise_not         0.03%      24.494us         0.10%      74.336us      37.168us      11.840us         0.03%      11.840us       5.920us             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      11.840us         0.03%      11.840us       5.920us             2  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us      11.040us         0.03%      11.040us       5.520us             2  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      11.040us         0.03%      11.040us       3.680us             3  
                                          aten::__and__         0.00%       1.783us         0.06%      42.630us      42.630us       0.000us         0.00%      10.880us      10.880us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us      10.880us         0.03%      10.880us      10.880us             1  
at::native::xpu::ScatterGatherElementwiseKernelFunct...         0.00%       0.000us         0.00%       0.000us       0.000us      10.880us         0.03%      10.880us      10.880us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      10.720us         0.03%      10.720us       3.573us             3  
                                              aten::div         0.05%      38.867us         0.13%      97.041us      48.520us      10.720us         0.03%      10.720us       5.360us             2  
at::native::xpu::CatArrayBatchedCopy<at::native::xpu...         0.00%       0.000us         0.00%       0.000us       0.000us      10.400us         0.02%      10.400us      10.400us             1  
                                              aten::cos         0.04%      28.594us         0.10%      73.171us      73.171us      10.080us         0.02%      10.080us      10.080us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us      10.080us         0.02%      10.080us      10.080us             1  
                                              aten::sin         0.03%      22.478us         0.09%      64.195us      64.195us       9.280us         0.02%       9.280us       9.280us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       9.280us         0.02%       9.280us       9.280us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       9.120us         0.02%       9.120us       4.560us             2  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       9.120us         0.02%       9.120us       4.560us             2  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us       8.800us         0.02%       8.800us       8.800us             1  
                                        aten::embedding         0.02%      13.522us         0.13%      96.775us      96.775us       0.000us         0.00%       8.640us       8.640us             1  
                                     aten::index_select         0.05%      33.871us         0.11%      79.230us      79.230us       8.640us         0.02%       8.640us       8.640us             1  
at::native::xpu::IndexKernel<at::native::xpu::IndexK...         0.00%       0.000us         0.00%       0.000us       0.000us       8.640us         0.02%       8.640us       8.640us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.640us         0.02%       8.640us       4.320us             2  
                                     aten::exponential_         0.03%      19.622us         0.06%      43.048us      43.048us       8.480us         0.02%       8.480us       8.480us             1  
at::native::xpu::DistributionElementwiseKernelFuncto...         0.00%       0.000us         0.00%       0.000us       0.000us       8.480us         0.02%       8.480us       8.480us             1  
                                             aten::item         0.01%      10.496us         0.51%     377.991us      62.999us       0.000us         0.00%       8.400us       1.400us             6  
                              aten::_local_scalar_dense         0.17%     122.698us         0.50%     367.495us      61.249us       8.400us         0.02%       8.400us       1.400us             6  
                 Memcpy D2M (DEVICE -> MEMORY(Unknown))         0.00%       0.000us         0.00%       0.000us       0.000us       8.400us         0.02%       8.400us       1.400us             6  
at::native::xpu::SegmentScanKernel<at::native::xpu::...         0.00%       0.000us         0.00%       0.000us       0.000us       8.320us         0.02%       8.320us       8.320us             1  
                                              aten::bmm         0.25%     182.571us         0.32%     232.633us     232.633us       8.160us         0.02%       8.160us       8.160us             1  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us       7.680us         0.02%       7.680us       7.680us             1  
                                             aten::full         0.01%       4.268us         0.08%      60.964us      30.482us       0.000us         0.00%       7.680us       3.840us             2  
                                              aten::sub         0.07%      50.924us         0.18%     130.866us      65.433us       7.520us         0.02%       7.520us       3.760us             2  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       7.520us         0.02%       7.520us       3.760us             2  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       7.360us         0.02%       7.360us       3.680us             2  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       7.360us         0.02%       7.360us       3.680us             2  
                                           aten::arange         0.03%      25.377us         0.18%     134.510us      67.255us       3.680us         0.01%       7.360us       3.680us             2  
                                    aten::_assert_async         0.02%      17.258us         0.08%      55.370us      27.685us       7.040us         0.02%       7.040us       3.520us             2  
       at::native::xpu::AssertAsyncKernelFunctor1<bool>         0.00%       0.000us         0.00%       0.000us       0.000us       7.040us         0.02%       7.040us       3.520us             2  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       7.040us         0.02%       7.040us       3.520us             2  
                                       aten::is_nonzero         0.01%       6.003us         0.46%     336.315us      67.263us       0.000us         0.00%       6.240us       1.248us             5  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       6.080us         0.01%       6.080us       6.080us             1  
at::native::xpu::AccumulateCarrierKernelFunctor<at::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.760us         0.01%       5.760us       5.760us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.760us         0.01%       5.760us       5.760us             1  
at::native::xpu::SegmentScanKernel<at::native::xpu::...         0.00%       0.000us         0.00%       0.000us       0.000us       5.600us         0.01%       5.600us       5.600us             1  
                                               aten::le         0.03%      21.843us         0.08%      58.358us      58.358us       5.440us         0.01%       5.440us       5.440us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       5.280us         0.01%       5.280us       5.280us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       4.960us         0.01%       4.960us       4.960us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       4.960us         0.01%       4.960us       4.960us             1  
                                    aten::scalar_tensor         0.00%       3.619us         0.05%      35.322us      35.322us       0.000us         0.00%       4.640us       4.640us             1  
                                         aten::new_ones         0.01%       6.462us         0.06%      46.122us      46.122us       0.000us         0.00%       4.320us       4.320us             1  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       4.320us         0.01%       4.320us       4.320us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.01%       4.000us       4.000us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.840us         0.01%       3.840us       3.840us             1  
                                             aten::rsub         0.01%       4.621us         0.07%      54.975us      54.975us       0.000us         0.00%       3.840us       3.840us             1  
at::native::xpu::VectorizedElementwiseKernel<2, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       3.840us         0.01%       3.840us       3.840us             1  
at::native::xpu::ElementwiseKernelWithIndexFunctor<i...         0.00%       0.000us         0.00%       0.000us       0.000us       3.680us         0.01%       3.680us       3.680us             1  
                                             aten::ones         0.01%       5.870us         0.10%      71.732us      71.732us       0.000us         0.00%       3.040us       3.040us             1  
                                               aten::ge         0.02%      12.251us         0.04%      32.772us      32.772us       2.560us         0.01%       2.560us       2.560us             1  
                 Memcpy M2D (MEMORY(Unknown) -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us       1.040us         0.00%       1.040us       0.520us             2  
                                            aten::empty         0.53%     389.434us         0.53%     389.434us       1.053us       0.000us         0.00%       0.000us       0.000us           370  
                                    aten::empty_strided         0.39%     284.699us         0.39%     284.699us       1.217us       0.000us         0.00%       0.000us       0.000us           234  
                                     urEnqueueUSMMemcpy         0.43%     315.873us         0.59%     433.381us      54.173us       0.000us         0.00%       0.000us       0.000us             8  
                                zeMemGetAllocProperties         0.55%     405.111us         0.55%     405.111us       0.168us       0.000us         0.00%       0.000us       0.000us          2408  
                                       zeEventHostReset         0.49%     362.419us         0.49%     362.419us       0.258us       0.000us         0.00%       0.000us       0.000us          1403  
                          zeCommandListAppendMemoryCopy         0.13%      95.665us         0.13%      95.665us      11.958us       0.000us         0.00%       0.000us       0.000us             8  
                                 zeEventHostSynchronize         0.14%      99.522us         0.14%      99.522us      12.440us       0.000us         0.00%       0.000us       0.000us             8  
                                       aten::lift_fresh         0.01%       8.929us         0.01%       8.929us       0.135us       0.000us         0.00%       0.000us       0.000us            66  
                                          aten::detach_         0.06%      42.534us         0.11%      79.750us       1.208us       0.000us         0.00%       0.000us       0.000us            66  
                                                detach_         0.05%      37.216us         0.05%      37.216us       0.564us       0.000us         0.00%       0.000us       0.000us            66  
                                           aten::select         0.04%      30.905us         0.05%      36.592us       9.148us       0.000us         0.00%       0.000us       0.000us             4  
                                       aten::as_strided         0.42%     306.589us         0.42%     306.589us       0.478us       0.000us         0.00%       0.000us       0.000us           642  
                                           aten::detach         0.00%       1.249us         0.01%       6.808us       6.808us       0.000us         0.00%       0.000us       0.000us             1  
                                                 detach         0.01%       5.559us         0.01%       5.559us       5.559us       0.000us         0.00%       0.000us       0.000us             1  
                       urEnqueueKernelLaunchWithArgsExp        46.32%      34.029ms        55.29%      40.614ms      29.093us       0.000us         0.00%       0.000us       0.000us          1396  
                               zeKernelSetArgumentValue         2.13%       1.565ms         2.13%       1.565ms       0.160us       0.000us         0.00%       0.000us       0.000us          9753  
                                   zeKernelSetGroupSize         0.09%      66.076us         0.09%      66.076us       0.047us       0.000us         0.00%       0.000us       0.000us          1396  
                        zeCommandListAppendLaunchKernel         6.25%       4.594ms         6.25%       4.594ms       3.291us       0.000us         0.00%       0.000us       0.000us          1396  
                                        aten::unsqueeze         0.20%     149.331us         0.26%     190.254us       1.409us       0.000us         0.00%       0.000us       0.000us           135  
                                             aten::view         0.53%     387.542us         0.53%     387.542us       0.910us       0.000us         0.00%       0.000us       0.000us           426  
                                  zeKernelGetProperties         0.06%      40.944us         0.06%      40.944us       0.499us       0.000us         0.00%       0.000us       0.000us            82  
                                       aten::empty_like         0.05%      40.303us         0.11%      82.732us       2.236us       0.000us         0.00%       0.000us       0.000us            37  
                                            aten::slice         0.35%     258.970us         0.43%     317.265us       2.385us       0.000us         0.00%       0.000us       0.000us           133  
                                          aten::reshape         0.22%     163.462us         0.52%     385.478us       1.483us       0.000us         0.00%       0.000us       0.000us           260  
                                          aten::resize_         0.09%      65.250us         0.09%      65.250us       0.282us       0.000us         0.00%       0.000us       0.000us           231  
                                            aten::alias         0.01%       5.809us         0.01%       5.809us       5.809us       0.000us         0.00%       0.000us       0.000us             1  
                                           aten::expand         0.02%      11.911us         0.02%      12.951us       3.238us       0.000us         0.00%       0.000us       0.000us             4  
                                     aten::_unsafe_view         0.23%     166.416us         0.23%     166.416us       0.736us       0.000us         0.00%       0.000us       0.000us           226  
                                        aten::transpose         0.45%     329.594us         0.72%     525.451us       1.484us       0.000us         0.00%       0.000us       0.000us           354  
                                      aten::result_type         0.04%      28.883us         0.04%      28.883us       0.444us       0.000us         0.00%       0.000us       0.000us            65  
                                                aten::t         0.55%     404.368us         0.92%     676.118us       3.005us       0.000us         0.00%       0.000us       0.000us           225  
                                     zeEventQueryStatus         0.00%       3.498us         0.00%       3.498us       1.749us       0.000us         0.00%       0.000us       0.000us             2  
                                          zeEventCreate         0.01%       4.329us         0.01%       4.329us       4.329us       0.000us         0.00%       0.000us       0.000us             1  
                                        aten::new_empty         0.00%       1.559us         0.00%       2.641us       2.641us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::view_as         0.00%       1.763us         0.00%       2.667us       2.667us       0.000us         0.00%       0.000us       0.000us             1  
                                          aten::squeeze         0.01%       6.640us         0.01%       7.121us       7.121us       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 73.456ms
Self XPU time total: 41.687ms

datatype: torch.float16 ; i: 3
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::matmul         0.72%     518.236us        30.13%      21.650ms      95.796us       0.000us         0.00%      31.560ms     139.645us           226  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      31.560ms        75.59%      31.560ms     139.645us           226  
                                           aten::linear         0.31%     226.099us        31.07%      22.321ms      99.205us       0.000us         0.00%      31.552ms     140.229us           225  
                                               aten::mm        14.52%      10.435ms        28.53%      20.494ms      91.084us      31.552ms        75.57%      31.552ms     140.229us           225  
                                            aten::copy_         1.99%       1.426ms         8.40%       6.033ms      28.590us       2.164ms         5.18%       2.164ms      10.257us           211  
                                               aten::to         0.20%     142.978us         8.94%       6.420ms      23.344us       0.000us         0.00%       2.115ms       7.689us           275  
                                         aten::_to_copy         0.52%     375.969us         8.74%       6.277ms      31.227us       0.000us         0.00%       2.115ms      10.520us           201  
                                              aten::cat         1.66%       1.194ms         5.88%       4.221ms      31.977us       1.824ms         4.37%       1.824ms      13.817us           132  
at::native::xpu::CatArrayBatchedCopy<at::native::xpu...         0.00%       0.000us         0.00%       0.000us       0.000us       1.796ms         4.30%       1.796ms      14.029us           128  
                                              aten::mul         3.67%       2.639ms        13.44%       9.656ms      32.842us       1.496ms         3.58%       1.496ms       5.087us           294  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.051ms         2.52%       1.051ms      15.682us            67  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.048ms         2.51%       1.048ms      15.884us            66  
                                              aten::add         2.85%       2.049ms         9.68%       6.953ms      35.473us     981.760us         2.35%     981.760us       5.009us           196  
                                             aten::mean         3.87%       2.781ms         6.39%       4.594ms      70.674us     914.240us         2.19%     914.240us      14.065us            65  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us     914.240us         2.19%     914.240us      14.065us            65  
                                             aten::topk         0.05%      35.984us         0.17%     122.359us     122.359us     739.520us         1.77%     739.520us     739.520us             1  
at::native::xpu::SegmentedGroupRadixSelectPairsFunct...         0.00%       0.000us         0.00%       0.000us       0.000us     710.880us         1.70%     710.880us     710.880us             1  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     531.360us         1.27%     531.360us       4.119us           129  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     448.800us         1.08%     448.800us       7.012us            64  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     356.000us         0.85%     356.000us       5.477us            65  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     337.280us         0.81%     337.280us       5.270us            64  
                     aten::scaled_dot_product_attention         0.26%     186.356us         4.57%       3.284ms     102.621us       0.000us         0.00%     329.600us      10.300us            32  
aten::_scaled_dot_product_fused_attention_overrideab...         2.39%       1.721ms         4.31%       3.098ms      96.798us     329.600us         0.79%     329.600us      10.300us            32  
                                             micro_sdpa         0.00%       0.000us         0.00%       0.000us       0.000us     329.600us         0.79%     329.600us      10.300us            32  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     301.760us         0.72%     301.760us       4.715us            64  
                                             aten::silu         0.50%     360.974us         1.49%       1.070ms      33.430us     269.600us         0.65%     269.600us       8.425us            32  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     269.600us         0.65%     269.600us       8.425us            32  
                                              aten::neg         0.82%     589.450us         2.73%       1.958ms      30.593us     258.720us         0.62%     258.720us       4.042us            64  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us     258.720us         0.62%     258.720us       4.042us            64  
                                              aten::pow         1.04%     747.195us         3.34%       2.399ms      36.911us     256.640us         0.61%     256.640us       3.948us            65  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     256.640us         0.61%     256.640us       3.948us            65  
at::native::xpu::VectorizedElementwiseKernel<8, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     254.720us         0.61%     254.720us       7.960us            32  
                                            aten::rsqrt         0.76%     549.199us         3.10%       2.226ms      34.246us     225.600us         0.54%     225.600us       3.471us            65  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     225.600us         0.54%     225.600us       3.471us            65  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     218.240us         0.52%     218.240us       3.358us            65  
                                      aten::multinomial         0.05%      33.730us         0.90%     647.161us     647.161us       0.000us         0.00%     152.000us     152.000us             1  
                                             aten::sort         0.19%     134.978us         1.81%       1.302ms       1.302ms     149.600us         0.36%     151.520us     151.520us             1  
                                          aten::softmax         0.01%       4.990us         0.32%     229.048us     114.524us       0.000us         0.00%     109.440us      54.720us             2  
                                         aten::_softmax         0.18%     129.599us         0.31%     224.058us     112.029us     109.440us         0.26%     109.440us      54.720us             2  
at::native::xpu::impl::SoftmaxForwardKernelFunctor<4...         0.00%       0.000us         0.00%       0.000us       0.000us     109.440us         0.26%     109.440us      54.720us             2  
at::native::xpu::SegmentedRadixSortPairsDownsweepFun...         0.00%       0.000us         0.00%       0.000us       0.000us      81.120us         0.19%      81.120us      10.140us             8  
                                             aten::isin         0.05%      37.416us         0.86%     616.216us     308.108us       0.000us         0.00%      72.160us      36.080us             2  
                                              aten::any         0.30%     218.258us         0.56%     403.857us      67.310us      55.840us         0.13%      64.000us      10.667us             6  
                                           aten::argmax         0.05%      38.907us         0.10%      74.691us      74.691us      49.280us         0.12%      49.280us      49.280us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      49.280us         0.12%      49.280us      49.280us             1  
                                      aten::bitwise_and         0.04%      31.683us         0.14%     100.522us      50.261us      41.760us         0.10%      41.760us      20.880us             2  
at::native::xpu::SegmentedRadixSortPairsUpsweepFunct...         0.00%       0.000us         0.00%       0.000us       0.000us      40.800us         0.10%      40.800us       5.100us             8  
                                            aten::fill_         0.17%     118.719us         0.55%     395.971us      49.496us      38.560us         0.09%      38.560us       4.820us             8  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      36.480us         0.09%      36.480us      12.160us             3  
                                           aten::cumsum         0.18%     131.121us         0.45%     324.952us     162.476us      33.440us         0.08%      33.440us      16.720us             2  
                                          aten::__and__         0.00%       1.502us         0.07%      50.465us      50.465us       0.000us         0.00%      33.280us      33.280us             1  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us      33.280us         0.08%      33.280us      33.280us             1  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      30.880us         0.07%      30.880us       5.147us             6  
at::native::xpu::SegmentedGroupRadixSortPairsFunctor...         0.00%       0.000us         0.00%       0.000us       0.000us      28.640us         0.07%      28.640us      28.640us             1  
at::native::xpu::SegmentedRadixSortPairsScanFunctor<...         0.00%       0.000us         0.00%       0.000us       0.000us      27.680us         0.07%      27.680us       3.460us             8  
                                          aten::aminmax         0.06%      41.885us         0.11%      79.156us      79.156us      27.520us         0.07%      27.520us      27.520us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      27.520us         0.07%      27.520us      27.520us             1  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      27.360us         0.07%      27.360us       6.840us             4  
                                              aten::sum         0.06%      44.133us         0.11%      81.409us      81.409us      25.920us         0.06%      25.920us      25.920us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      25.920us         0.06%      25.920us      25.920us             1  
                                               aten::eq         0.12%      89.685us         0.30%     213.637us      42.727us      25.920us         0.06%      25.920us       5.184us             5  
                                      aten::masked_fill         0.02%      14.759us         0.37%     267.195us      89.065us       0.000us         0.00%      25.760us       8.587us             3  
at::native::xpu::ReduceKernel<2, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      19.360us         0.05%      19.360us      19.360us             1  
                                               aten::lt         0.07%      50.028us         0.18%     131.702us      43.901us      18.400us         0.04%      18.400us       6.133us             3  
                                          aten::scatter         0.07%      53.360us         0.16%     114.248us     114.248us       9.600us         0.02%      18.080us      18.080us             1  
at::native::xpu::CatArrayBatchedCopy_contig<at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.440us         0.04%      17.440us       5.813us             3  
                                            aten::clone         0.02%      12.056us         0.24%     171.949us      42.987us       0.000us         0.00%      16.160us       4.040us             4  
at::native::xpu::SegmentScanKernel<at::native::xpu::...         0.00%       0.000us         0.00%       0.000us       0.000us      14.560us         0.03%      14.560us      14.560us             1  
                                           aten::__or__         0.00%       2.914us         0.10%      73.084us      36.542us       0.000us         0.00%      14.560us       7.280us             2  
                                       aten::bitwise_or         0.04%      25.378us         0.10%      70.170us      35.085us      14.560us         0.03%      14.560us       7.280us             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      14.560us         0.03%      14.560us       7.280us             2  
at::native::xpu::UnrolledElementwiseKernel<at::nativ...         0.00%       0.000us         0.00%       0.000us       0.000us      14.240us         0.03%      14.240us       7.120us             2  
                                              aten::max         0.06%      45.058us         0.11%      82.542us      82.542us      14.240us         0.03%      14.240us      14.240us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      14.240us         0.03%      14.240us      14.240us             1  
                                     aten::masked_fill_         0.06%      41.255us         0.17%     123.206us      41.069us      12.800us         0.03%      12.800us       4.267us             3  
                                              aten::all         0.09%      61.146us         0.13%      92.403us      92.403us      12.320us         0.03%      12.320us      12.320us             1  
at::native::xpu::ReduceKernel<1, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us      12.320us         0.03%      12.320us      12.320us             1  
                                      aten::bitwise_not         0.03%      22.024us         0.09%      67.582us      33.791us      11.840us         0.03%      11.840us       5.920us             2  
at::native::xpu::VectorizedElementwiseKernel<16, at:...         0.00%       0.000us         0.00%       0.000us       0.000us      11.840us         0.03%      11.840us       5.920us             2  
